improvement,eval,angles_deg,objective
0,1,27;36;223;249,131979.726849
1,2,17;36;223;249,123997.880273
2,9,27;36;223;259,123770.400135
3,10,17;36;223;259,117240.727457
4,17,27;36;223;269,116782.783656
5,18,17;36;223;269,111594.590879
6,25,27;36;223;279,110308.876399
7,26,17;36;223;279,106918.103083
8,34,7;36;223;279,104429.455802
9,42,357;36;223;279,100663.188301
10,50,347;36;223;279,99743.148292
11,58,337;36;223;279,97128.541346
12,66,327;36;223;279,95895.234833
13,74,317;36;223;279,95596.904470
