eval,angles_deg,objective,cached,ronda,tenure,prohibido,aceptado
1,167;190;304;322,99184.805832,false,0,,,
2,157;190;304;322,100454.548152,false,1,5,False,True
3,177;190;304;322,99729.057933,false,1,5,False,True
4,167;180;304;322,99272.503792,false,2,5,False,True
5,167;200;304;322,99213.557259,false,2,5,False,True
6,167;190;294;322,99543.600899,false,3,5,False,True
7,167;190;314;322,100155.628500,false,3,5,False,False
8,167;190;304;312,98841.548332,false,3,5,False,True
9,157;190;304;312,100296.810298,false,4,5,False,True
10,177;190;304;312,100007.839076,false,4,5,False,True
11,167;180;304;312,99045.198496,false,5,5,False,True
12,167;200;304;312,99047.389406,false,5,5,False,False
13,167;190;294;312,99437.068276,false,5,5,False,False
14,167;190;314;312,100666.522565,false,5,5,False,False
15,167;190;304;302,101535.320770,false,5,5,False,False
16,167;190;304;322,99184.805832,true,5,5,False,False
17,157;190;304;312,100296.810298,true,5,5,False,False
18,177;190;304;312,100007.839076,true,5,5,True,False
19,167;180;304;312,99045.198496,true,6,5,True,True
20,167;200;304;312,99047.389406,true,6,5,False,False
21,167;190;294;312,99437.068276,true,6,5,False,False
22,167;190;314;312,100666.522565,true,6,5,False,False
23,167;190;304;302,101535.320770,true,6,5,False,False
24,167;190;304;322,99184.805832,true,6,5,False,False
25,157;190;304;312,100296.810298,true,6,5,False,False
26,177;190;304;312,100007.839076,true,6,5,True,False
27,167;180;304;312,99045.198496,true,7,6,True,True
28,167;200;304;312,99047.389406,true,7,6,False,False
29,167;190;294;312,99437.068276,true,7,6,False,False
30,167;190;314;312,100666.522565,true,7,6,False,False
31,167;190;304;302,101535.320770,true,7,6,False,False
32,167;190;304;322,99184.805832,true,7,6,False,False
33,157;190;304;312,100296.810298,true,7,6,False,False
34,177;190;304;312,100007.839076,true,7,6,True,False
35,167;180;304;312,99045.198496,true,8,7,True,True
36,167;200;304;312,99047.389406,true,8,7,False,False
37,167;190;294;312,99437.068276,true,8,7,False,False
38,167;190;314;312,100666.522565,true,8,7,False,False
39,167;190;304;302,101535.320770,true,8,7,False,False
40,167;190;304;322,99184.805832,true,8,7,False,False
41,157;190;304;312,100296.810298,true,8,7,False,False
42,177;190;304;312,100007.839076,true,8,7,True,False
43,167;180;304;312,99045.198496,true,9,8,True,True
44,167;200;304;312,99047.389406,true,9,8,False,False
45,167;190;294;312,99437.068276,true,9,8,False,False
46,167;190;314;312,100666.522565,true,9,8,False,False
47,167;190;304;302,101535.320770,true,9,8,False,False
48,167;190;304;322,99184.805832,true,9,8,False,False
49,157;190;304;312,100296.810298,true,9,8,False,False
50,177;190;304;312,100007.839076,true,9,8,True,False
51,167;180;304;312,99045.198496,true,10,8,True,True
