improvement,eval,angles_deg,objective
0,1,35;115;165;285,101130.596154
1,2,30;115;165;285,100945.713556
2,4,35;110;165;285,100827.183799
3,5,35;120;165;285,100515.005929
4,6,35;115;160;285,100209.992328
5,8,35;115;165;280,99142.706960
6,10,30;115;165;280,98894.223688
7,12,35;110;165;280,98818.825233
8,13,35;120;165;280,98754.871184
9,14,35;115;160;280,98407.046057
10,16,35;115;165;275,98127.182869
11,19,40;115;165;275,97869.639198
12,22,35;115;160;275,97644.241264
13,27,40;115;160;275,97376.623078
14,32,35;115;160;270,97252.090058
15,35,40;115;160;270,97066.295934
16,44,40;110;160;270,97004.255279
17,52,40;105;160;270,95697.167262
