eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"60;70;245;265",121994.917896,false,8773.071385,33916.661608,92524.918279,66085.451527
2,"55;70;245;265",121230.688860,false,8430.568834,34194.911265,92716.878953,64493.538570
3,"65;70;245;265",124129.651554,false,8538.654492,34797.504811,92539.642171,69047.342332
4,"60;65;245;265",122532.903393,false,8788.481053,33987.230255,92484.730780,67029.653391
5,"60;75;245;265",121430.554779,false,8725.473848,33665.638066,92108.047639,65970.838090
6,"60;70;240;265",121683.657320,false,8723.659510,33995.665533,92516.110784,65412.553769
7,"60;70;250;265",121557.116666,false,8609.596109,34034.126419,92703.328589,65123.459687
8,"60;70;245;260",126786.152820,false,9156.794304,35059.061379,94004.579659,71136.014616
9,"60;70;245;270",116553.299747,false,8362.890644,32088.289219,91455.422375,60748.817392
10,"55;70;245;270",116169.852753,false,7962.347419,32281.117648,91845.358353,60007.417020
11,"65;70;245;270",118180.425102,false,8146.615414,32679.191677,91496.734383,63212.501640
12,"60;65;245;270",116987.563812,false,8280.386422,32052.215846,91307.550484,62002.372602
13,"60;75;245;270",116391.977042,false,8496.810759,31703.098882,91657.108309,60727.026493
14,"60;70;240;270",116127.654006,false,8216.045313,32081.852592,91092.310725,60567.201478
15,"55;70;240;270",115944.463530,false,7970.699173,32300.605482,91900.736086,59445.581663
16,"65;70;240;270",118027.293645,false,8108.022638,32785.204927,91262.696121,63005.436041
17,"60;65;240;270",117505.250695,false,8243.488125,32165.458010,92140.861110,62051.748011
18,"60;75;240;270",116252.015888,false,8389.147234,31772.374643,91729.257659,60451.730364
19,"60;70;235;270",116366.557858,false,8247.292698,31990.586690,91290.193329,60967.163609
20,"60;70;245;270",116553.299747,true,8362.890644,32088.289219,91455.422375,60748.817392
21,"60;70;240;265",121683.657320,true,8723.659510,33995.665533,92516.110784,65412.553769
22,"60;70;240;275",114743.080128,false,8647.358790,30871.034779,89954.442823,60494.930294
23,"55;70;240;275",114349.969871,false,8295.730227,31164.810486,90097.268837,59681.589480
24,"65;70;240;275",116113.256609,false,8417.643418,31652.575825,89685.486529,62400.588203
25,"60;65;240;275",115964.563691,false,8624.657991,31036.577447,91065.720578,61540.935928
26,"60;75;240;275",114242.691457,false,8674.311082,30394.795083,90431.509294,59915.661289
27,"55;75;240;275",114299.976475,false,8480.902096,30417.366166,91574.734028,59228.682399
28,"65;75;240;275",115483.003821,false,8462.152616,31161.181591,90243.875772,61475.463456
29,"60;70;240;275",114743.080128,true,8647.358790,30871.034779,89954.442823,60494.930294
30,"60;80;240;275",112818.901708,false,8920.267941,29517.581606,91128.663947,57633.440375
31,"55;80;240;275",112475.453296,false,8713.320768,29608.548721,91614.048682,56693.118931
32,"65;80;240;275",113966.146996,false,8680.606956,30132.454551,91140.507476,59165.663504
33,"60;75;240;275",114242.691457,true,8674.311082,30394.795083,90431.509294,59915.661289
34,"60;85;240;275",113358.398464,false,8738.676020,29509.633399,89739.242481,60480.935609
35,"60;80;235;275",113210.629001,false,8900.280589,29663.523929,91258.884925,58034.764041
36,"60;80;245;275",112328.522060,false,8882.045249,29435.616677,90582.734118,57438.986150
37,"55;80;245;275",111897.850753,false,8517.939807,29616.264424,90991.454533,56535.838513
38,"65;80;245;275",114112.727266,false,8852.462132,30100.707000,91265.101423,59054.014844
39,"60;75;245;275",114398.668936,false,8743.937365,30375.056596,90629.352862,59929.997089
40,"60;85;245;275",112906.984818,false,8666.306252,29574.378237,89338.224195,59994.376461
41,"60;80;240;275",112818.901708,true,8920.267941,29517.581606,91128.663947,57633.440375
42,"60;80;250;275",112016.244572,false,8803.412124,29465.755675,90611.236641,56882.916906
43,"60;80;245;270",114115.217344,false,8662.408658,30629.503253,91896.744129,57749.866738
44,"60;80;245;280",109518.393252,false,8558.638669,28726.129614,86432.284466,58034.965473
45,"55;80;245;280",109181.990646,false,8274.627790,29031.057171,86529.579735,57223.031635
46,"65;80;245;280",111366.960873,false,8687.981305,29341.961987,87429.372654,59244.662510
47,"60;75;245;280",112029.498654,false,8579.927203,29772.235723,85819.162199,61535.509259
48,"60;85;245;280",111505.980907,false,8404.939438,29681.575639,85863.019745,60975.911916
49,"60;80;240;280",109800.836761,false,8674.549390,28636.715744,87053.236807,57925.906447
50,"60;80;250;280",109125.738342,false,8339.415308,28733.415689,86504.140125,57601.674563
51,"55;80;250;280",108735.680135,false,7998.757291,29092.688470,86346.822660,56941.646088
