eval,angles_deg,objective,cached,ronda,tenure,prohibido,aceptado
1,60;70;245;265,121994.917896,false,0,,,
2,55;70;245;265,121230.688860,false,1,5,False,True
3,65;70;245;265,124129.651554,false,1,5,False,False
4,60;65;245;265,122532.903393,false,1,5,False,False
5,60;75;245;265,121430.554779,false,1,5,False,False
6,60;70;240;265,121683.657320,false,1,5,False,False
7,60;70;250;265,121557.116666,false,1,5,False,False
8,60;70;245;260,126786.152820,false,1,5,False,False
9,60;70;245;270,116553.299747,false,1,5,False,True
10,55;70;245;270,116169.852753,false,2,5,False,True
11,65;70;245;270,118180.425102,false,2,5,False,False
12,60;65;245;270,116987.563812,false,2,5,False,False
13,60;75;245;270,116391.977042,false,2,5,False,False
14,60;70;240;270,116127.654006,false,2,5,False,True
15,55;70;240;270,115944.463530,false,3,5,False,True
16,65;70;240;270,118027.293645,false,3,5,False,False
17,60;65;240;270,117505.250695,false,3,5,False,False
18,60;75;240;270,116252.015888,false,3,5,False,False
19,60;70;235;270,116366.557858,false,3,5,False,False
20,60;70;245;270,116553.299747,true,3,5,True,False
21,60;70;240;265,121683.657320,true,3,5,False,False
22,60;70;240;275,114743.080128,false,3,5,False,True
23,55;70;240;275,114349.969871,false,4,5,False,True
24,65;70;240;275,116113.256609,false,4,5,False,False
25,60;65;240;275,115964.563691,false,4,5,False,False
26,60;75;240;275,114242.691457,false,4,5,False,True
27,55;75;240;275,114299.976475,false,5,5,False,True
28,65;75;240;275,115483.003821,false,5,5,False,False
29,60;70;240;275,114743.080128,true,5,5,True,False
30,60;80;240;275,112818.901708,false,5,5,False,True
31,55;80;240;275,112475.453296,false,6,5,False,True
32,65;80;240;275,113966.146996,false,6,5,False,False
33,60;75;240;275,114242.691457,true,6,5,True,False
34,60;85;240;275,113358.398464,false,6,5,False,False
35,60;80;235;275,113210.629001,false,6,5,False,False
36,60;80;245;275,112328.522060,false,6,5,False,True
37,55;80;245;275,111897.850753,false,7,5,False,True
38,65;80;245;275,114112.727266,false,7,5,False,False
39,60;75;245;275,114398.668936,false,7,5,False,False
40,60;85;245;275,112906.984818,false,7,5,False,False
41,60;80;240;275,112818.901708,true,7,5,True,False
42,60;80;250;275,112016.244572,false,7,5,False,False
43,60;80;245;270,114115.217344,false,7,5,False,False
44,60;80;245;280,109518.393252,false,7,5,False,True
45,55;80;245;280,109181.990646,false,8,5,False,True
46,65;80;245;280,111366.960873,false,8,5,False,False
47,60;75;245;280,112029.498654,false,8,5,False,False
48,60;85;245;280,111505.980907,false,8,5,False,False
49,60;80;240;280,109800.836761,false,8,5,False,False
50,60;80;250;280,109125.738342,false,8,5,False,True
51,55;80;250;280,108735.680135,false,9,5,False,True
52,65;80;250;280,111561.599169,false,9,5,False,False
53,60;75;250;280,111803.631825,false,9,5,False,False
54,60;85;250;280,110930.276187,false,9,5,False,False
55,60;80;245;280,109518.393252,true,9,5,True,False
