improvement,eval,angles_deg,objective
0,1,27;36;223;249,131979.726849
1,2,22;36;223;249,128527.643439
2,9,27;36;223;254,126430.193892
3,10,22;36;223;254,123520.054211
4,18,17;36;223;254,119184.733889
5,26,12;36;223;254,116336.148909
6,34,7;36;223;254,112866.191599
7,42,2;36;223;254,109375.313647
8,50,357;36;223;254,106313.970593
9,58,352;36;223;254,104847.438405
10,66,347;36;223;254,103455.545527
11,74,342;36;223;254,101621.589382
12,82,337;36;223;254,99626.123261
13,90,332;36;223;254,99093.338153
14,98,327;36;223;254,98285.926046
15,106,322;36;223;254,97784.666790
16,114,317;36;223;254,97406.722701
