eval,angles_deg,objective,cached,ronda,tenure,prohibido,aceptado
1,87;240;266;315,100922.161839,false,0,,,
2,82;240;266;315,101304.049927,false,1,5,False,True
3,92;240;266;315,99270.711622,false,1,5,False,True
4,87;235;266;315,101471.938580,false,1,5,False,False
5,87;245;266;315,102027.437322,false,1,5,False,False
6,87;240;261;315,102135.672069,false,1,5,False,False
7,87;240;271;315,97219.862873,false,1,5,False,True
8,87;240;266;310,100976.506726,false,1,5,False,False
9,87;240;266;320,100892.701014,false,1,5,False,False
10,82;240;271;315,97546.266820,false,2,5,False,True
11,92;240;271;315,96876.288395,false,2,5,False,True
12,87;235;271;315,97530.828448,false,2,5,False,False
13,87;245;271;315,98194.490722,false,2,5,False,False
14,87;240;266;315,100922.161839,true,2,5,False,False
15,87;240;276;315,100317.625716,false,2,5,False,False
16,87;240;271;310,97094.055938,false,2,5,False,False
17,87;240;271;320,97200.028495,false,2,5,False,False
18,87;240;271;315,97219.862873,true,3,5,True,True
19,97;240;271;315,96650.503120,false,3,5,False,True
20,92;235;271;315,97055.601153,false,3,5,False,False
21,92;245;271;315,97816.028397,false,3,5,False,False
22,92;240;266;315,99270.711622,true,3,5,False,False
23,92;240;276;315,98777.929139,false,3,5,False,False
24,92;240;271;310,96795.469496,false,3,5,False,False
25,92;240;271;320,96859.519642,false,3,5,False,False
26,92;240;271;315,96876.288395,true,4,5,True,True
27,102;240;271;315,92821.153032,false,4,5,False,True
28,97;235;271;315,96687.347581,false,4,5,False,False
29,97;245;271;315,97624.628140,false,4,5,False,False
30,97;240;266;315,98143.111652,false,4,5,False,False
31,97;240;276;315,98220.969967,false,4,5,False,False
32,97;240;271;310,96579.637329,false,4,5,False,False
33,97;240;271;320,96645.089705,false,4,5,False,False
34,97;240;271;315,96650.503120,true,5,5,True,True
35,107;240;271;315,95080.144992,false,5,5,False,True
36,102;235;271;315,92924.568110,false,5,5,False,True
37,102;245;271;315,93604.491501,false,5,5,False,False
38,102;240;266;315,94368.252842,false,5,5,False,False
39,102;240;276;315,94586.482028,false,5,5,False,False
40,102;240;271;310,92587.206109,false,5,5,False,True
41,102;240;271;320,92642.518321,false,5,5,False,False
42,97;240;271;310,96579.637329,true,6,5,False,True
43,107;240;271;310,94734.937766,false,6,5,False,True
44,102;235;271;310,92603.183115,false,6,5,False,True
45,102;245;271;310,93380.071309,false,6,5,False,False
46,102;240;266;310,94227.881169,false,6,5,False,False
47,102;240;276;310,94451.311264,false,6,5,False,False
48,102;240;271;305,94354.188608,false,6,5,False,False
49,102;240;271;315,92821.153032,true,6,5,True,False
50,97;240;271;310,96579.637329,true,7,5,False,True
51,107;240;271;310,94734.937766,true,7,5,False,True
52,102;235;271;310,92603.183115,true,7,5,True,False
53,102;245;271;310,93380.071309,true,7,5,False,True
54,102;240;266;310,94227.881169,true,7,5,False,False
55,102;240;276;310,94451.311264,true,7,5,False,False
56,102;240;271;305,94354.188608,true,7,5,False,False
57,102;240;271;315,92821.153032,true,7,5,True,False
58,97;240;271;310,96579.637329,true,8,5,False,True
59,107;240;271;310,94734.937766,true,8,5,False,True
60,102;235;271;310,92603.183115,true,8,5,True,False
61,102;245;271;310,93380.071309,true,8,5,True,False
62,102;240;266;310,94227.881169,true,8,5,False,True
63,102;240;276;310,94451.311264,true,8,5,False,False
64,102;240;271;305,94354.188608,true,8,5,False,False
65,102;240;271;315,92821.153032,true,8,5,True,False
66,97;240;271;310,96579.637329,true,9,5,False,True
67,107;240;271;310,94734.937766,true,9,5,False,True
68,102;235;271;310,92603.183115,true,9,5,True,False
69,102;245;271;310,93380.071309,true,9,5,True,False
70,102;240;266;310,94227.881169,true,9,5,True,False
71,102;240;276;310,94451.311264,true,9,5,False,True
72,102;240;271;305,94354.188608,true,9,5,False,True
73,102;240;271;315,92821.153032,true,9,5,True,False
74,97;240;271;310,96579.637329,true,10,5,False,True
75,107;240;271;310,94734.937766,true,10,5,False,True
76,102;235;271;310,92603.183115,true,10,5,True,False
77,102;245;271;310,93380.071309,true,10,5,True,False
78,102;240;266;310,94227.881169,true,10,5,True,False
79,102;240;276;310,94451.311264,true,10,5,False,True
80,102;240;271;305,94354.188608,true,10,5,True,False
81,102;240;271;315,92821.153032,true,10,5,False,True
82,97;240;271;310,96579.637329,true,11,4,False,True
83,107;240;271;310,94734.937766,true,11,4,False,True
84,102;235;271;310,92603.183115,true,11,4,False,True
85,102;245;271;310,93380.071309,true,11,4,True,False
86,102;240;266;310,94227.881169,true,11,4,True,False
87,102;240;276;310,94451.311264,true,11,4,False,False
88,102;240;271;305,94354.188608,true,11,4,True,False
89,102;240;271;315,92821.153032,true,11,4,True,False
90,97;240;271;310,96579.637329,true,12,4,False,True
91,107;240;271;310,94734.937766,true,12,4,False,True
92,102;235;271;310,92603.183115,true,12,4,True,False
93,102;245;271;310,93380.071309,true,12,4,False,True
94,102;240;266;310,94227.881169,true,12,4,True,False
95,102;240;276;310,94451.311264,true,12,4,False,False
96,102;240;271;305,94354.188608,true,12,4,True,False
97,102;240;271;315,92821.153032,true,12,4,True,False
98,97;240;271;310,96579.637329,true,13,4,False,True
99,107;240;271;310,94734.937766,true,13,4,False,True
100,102;235;271;310,92603.183115,true,13,4,True,False
101,102;245;271;310,93380.071309,true,13,4,True,False
102,102;240;266;310,94227.881169,true,13,4,False,True
103,102;240;276;310,94451.311264,true,13,4,False,False
104,102;240;271;305,94354.188608,true,13,4,True,False
105,102;240;271;315,92821.153032,true,13,4,True,False
106,97;240;271;310,96579.637329,true,14,4,False,True
107,107;240;271;310,94734.937766,true,14,4,False,True
108,102;235;271;310,92603.183115,true,14,4,True,False
109,102;245;271;310,93380.071309,true,14,4,True,False
110,102;240;266;310,94227.881169,true,14,4,True,False
111,102;240;276;310,94451.311264,true,14,4,False,True
112,102;240;271;305,94354.188608,true,14,4,False,True
113,102;240;271;315,92821.153032,true,14,4,True,False
114,97;240;271;310,96579.637329,true,15,4,False,True
115,107;240;271;310,94734.937766,true,15,4,False,True
116,102;235;271;310,92603.183115,true,15,4,True,False
117,102;245;271;310,93380.071309,true,15,4,True,False
118,102;240;266;310,94227.881169,true,15,4,True,False
119,102;240;276;310,94451.311264,true,15,4,False,True
120,102;240;271;305,94354.188608,true,15,4,True,False
121,102;240;271;315,92821.153032,true,15,4,False,True
122,97;240;271;310,96579.637329,true,16,4,False,True
123,107;240;271;310,94734.937766,true,16,4,False,True
124,102;235;271;310,92603.183115,true,16,4,False,True
125,102;245;271;310,93380.071309,true,16,4,True,False
126,102;240;266;310,94227.881169,true,16,4,True,False
127,102;240;276;310,94451.311264,true,16,4,False,False
128,102;240;271;305,94354.188608,true,16,4,True,False
129,102;240;271;315,92821.153032,true,16,4,True,False
130,97;240;271;310,96579.637329,true,17,4,False,True
131,107;240;271;310,94734.937766,true,17,4,False,True
132,102;235;271;310,92603.183115,true,17,4,True,False
133,102;245;271;310,93380.071309,true,17,4,False,True
134,102;240;266;310,94227.881169,true,17,4,True,False
135,102;240;276;310,94451.311264,true,17,4,False,False
136,102;240;271;305,94354.188608,true,17,4,True,False
137,102;240;271;315,92821.153032,true,17,4,True,False
138,97;240;271;310,96579.637329,true,18,4,False,True
139,107;240;271;310,94734.937766,true,18,4,False,True
140,102;235;271;310,92603.183115,true,18,4,True,False
141,102;245;271;310,93380.071309,true,18,4,True,False
142,102;240;266;310,94227.881169,true,18,4,False,True
143,102;240;276;310,94451.311264,true,18,4,False,False
144,102;240;271;305,94354.188608,true,18,4,True,False
145,102;240;271;315,92821.153032,true,18,4,True,False
146,97;240;271;310,96579.637329,true,19,3,False,True
147,107;240;271;310,94734.937766,true,19,3,False,True
148,102;235;271;310,92603.183115,true,19,3,True,False
149,102;245;271;310,93380.071309,true,19,3,True,False
150,102;240;266;310,94227.881169,true,19,3,True,False
151,102;240;276;310,94451.311264,true,19,3,False,True
152,102;240;271;305,94354.188608,true,19,3,False,True
153,102;240;271;315,92821.153032,true,19,3,False,True
154,97;240;271;310,96579.637329,true,20,3,False,True
155,107;240;271;310,94734.937766,true,20,3,False,True
156,102;235;271;310,92603.183115,true,20,3,False,True
157,102;245;271;310,93380.071309,true,20,3,True,False
158,102;240;266;310,94227.881169,true,20,3,True,False
159,102;240;276;310,94451.311264,true,20,3,False,False
160,102;240;271;305,94354.188608,true,20,3,False,False
161,102;240;271;315,92821.153032,true,20,3,True,False
162,97;240;271;310,96579.637329,true,21,3,False,True
163,107;240;271;310,94734.937766,true,21,3,False,True
164,102;235;271;310,92603.183115,true,21,3,True,False
165,102;245;271;310,93380.071309,true,21,3,False,True
166,102;240;266;310,94227.881169,true,21,3,True,False
167,102;240;276;310,94451.311264,true,21,3,False,False
168,102;240;271;305,94354.188608,true,21,3,False,False
169,102;240;271;315,92821.153032,true,21,3,True,False
170,97;240;271;310,96579.637329,true,22,3,False,True
171,107;240;271;310,94734.937766,true,22,3,False,True
172,102;235;271;310,92603.183115,true,22,3,True,False
173,102;245;271;310,93380.071309,true,22,3,True,False
174,102;240;266;310,94227.881169,true,22,3,False,True
175,102;240;276;310,94451.311264,true,22,3,False,False
176,102;240;271;305,94354.188608,true,22,3,False,False
177,102;240;271;315,92821.153032,true,22,3,True,False
178,97;240;271;310,96579.637329,true,23,3,False,True
179,107;240;271;310,94734.937766,true,23,3,False,True
180,102;235;271;310,92603.183115,true,23,3,True,False
181,102;245;271;310,93380.071309,true,23,3,True,False
182,102;240;266;310,94227.881169,true,23,3,True,False
183,102;240;276;310,94451.311264,true,23,3,False,True
184,102;240;271;305,94354.188608,true,23,3,False,True
185,102;240;271;315,92821.153032,true,23,3,False,True
186,97;240;271;310,96579.637329,true,24,3,False,True
187,107;240;271;310,94734.937766,true,24,3,False,True
188,102;235;271;310,92603.183115,true,24,3,False,True
189,102;245;271;310,93380.071309,true,24,3,True,False
190,102;240;266;310,94227.881169,true,24,3,True,False
191,102;240;276;310,94451.311264,true,24,3,False,False
192,102;240;271;305,94354.188608,true,24,3,False,False
193,102;240;271;315,92821.153032,true,24,3,True,False
194,97;240;271;310,96579.637329,true,25,3,False,True
195,107;240;271;310,94734.937766,true,25,3,False,True
196,102;235;271;310,92603.183115,true,25,3,True,False
197,102;245;271;310,93380.071309,true,25,3,False,True
198,102;240;266;310,94227.881169,true,25,3,True,False
199,102;240;276;310,94451.311264,true,25,3,False,False
200,102;240;271;305,94354.188608,true,25,3,False,False
201,102;240;271;315,92821.153032,true,25,3,True,False
202,97;240;271;310,96579.637329,true,26,3,False,True
