organ,dose_gy,volume_pct
PTV_68,0.000,100.000
PTV_68,0.507,100.000
PTV_68,1.014,100.000
PTV_68,1.520,100.000
PTV_68,2.027,100.000
PTV_68,2.534,100.000
PTV_68,3.041,100.000
PTV_68,3.548,100.000
PTV_68,4.054,100.000
PTV_68,4.561,100.000
PTV_68,5.068,100.000
PTV_68,5.575,100.000
PTV_68,6.082,100.000
PTV_68,6.589,100.000
PTV_68,7.095,100.000
PTV_68,7.602,100.000
PTV_68,8.109,100.000
PTV_68,8.616,100.000
PTV_68,9.123,100.000
PTV_68,9.629,100.000
PTV_68,10.136,100.000
PTV_68,10.643,100.000
PTV_68,11.150,100.000
PTV_68,11.657,100.000
PTV_68,12.163,100.000
PTV_68,12.670,100.000
PTV_68,13.177,100.000
PTV_68,13.684,100.000
PTV_68,14.191,100.000
PTV_68,14.697,100.000
PTV_68,15.204,100.000
PTV_68,15.711,100.000
PTV_68,16.218,100.000
PTV_68,16.725,100.000
PTV_68,17.232,100.000
PTV_68,17.738,100.000
PTV_68,18.245,100.000
PTV_68,18.752,100.000
PTV_68,19.259,100.000
PTV_68,19.766,100.000
PTV_68,20.272,100.000
PTV_68,20.779,100.000
PTV_68,21.286,100.000
PTV_68,21.793,100.000
PTV_68,22.300,100.000
PTV_68,22.806,100.000
PTV_68,23.313,100.000
PTV_68,23.820,100.000
PTV_68,24.327,100.000
PTV_68,24.834,100.000
PTV_68,25.340,100.000
PTV_68,25.847,100.000
PTV_68,26.354,100.000
PTV_68,26.861,100.000
PTV_68,27.368,100.000
PTV_68,27.874,100.000
PTV_68,28.381,100.000
PTV_68,28.888,100.000
PTV_68,29.395,100.000
PTV_68,29.902,100.000
PTV_68,30.409,100.000
PTV_68,30.915,100.000
PTV_68,31.422,100.000
PTV_68,31.929,100.000
PTV_68,32.436,100.000
PTV_68,32.943,100.000
PTV_68,33.449,100.000
PTV_68,33.956,100.000
PTV_68,34.463,100.000
PTV_68,34.970,100.000
PTV_68,35.477,100.000
PTV_68,35.983,100.000
PTV_68,36.490,100.000
PTV_68,36.997,100.000
PTV_68,37.504,100.000
PTV_68,38.011,100.000
PTV_68,38.517,100.000
PTV_68,39.024,100.000
PTV_68,39.531,100.000
PTV_68,40.038,100.000
PTV_68,40.545,100.000
PTV_68,41.052,100.000
PTV_68,41.558,100.000
PTV_68,42.065,100.000
PTV_68,42.572,100.000
PTV_68,43.079,100.000
PTV_68,43.586,100.000
PTV_68,44.092,100.000
PTV_68,44.599,100.000
PTV_68,45.106,100.000
PTV_68,45.613,100.000
PTV_68,46.120,100.000
PTV_68,46.626,100.000
PTV_68,47.133,100.000
PTV_68,47.640,100.000
PTV_68,48.147,100.000
PTV_68,48.654,100.000
PTV_68,49.160,100.000
PTV_68,49.667,100.000
PTV_68,50.174,100.000
PTV_68,50.681,100.000
PTV_68,51.188,100.000
PTV_68,51.695,100.000
PTV_68,52.201,100.000
PTV_68,52.708,100.000
PTV_68,53.215,100.000
PTV_68,53.722,100.000
PTV_68,54.229,100.000
PTV_68,54.735,100.000
PTV_68,55.242,100.000
PTV_68,55.749,100.000
PTV_68,56.256,100.000
PTV_68,56.763,100.000
PTV_68,57.269,100.000
PTV_68,57.776,100.000
PTV_68,58.283,100.000
PTV_68,58.790,100.000
PTV_68,59.297,100.000
PTV_68,59.803,100.000
PTV_68,60.310,100.000
PTV_68,60.817,100.000
PTV_68,61.324,100.000
PTV_68,61.831,100.000
PTV_68,62.338,100.000
PTV_68,62.844,100.000
PTV_68,63.351,100.000
PTV_68,63.858,100.000
PTV_68,64.365,100.000
PTV_68,64.872,100.000
PTV_68,65.378,100.000
PTV_68,65.885,100.000
PTV_68,66.392,100.000
PTV_68,66.899,100.000
PTV_68,67.406,100.000
PTV_68,67.912,100.000
PTV_68,68.419,100.000
PTV_68,68.926,100.000
PTV_68,69.433,100.000
PTV_68,69.940,100.000
PTV_68,70.446,100.000
PTV_68,70.953,100.000
PTV_68,71.460,100.000
PTV_68,71.967,100.000
PTV_68,72.474,100.000
PTV_68,72.980,100.000
PTV_68,73.487,100.000
PTV_68,73.994,100.000
PTV_68,74.501,100.000
PTV_68,75.008,100.000
PTV_68,75.515,100.000
PTV_68,76.021,100.000
PTV_68,76.528,100.000
PTV_68,77.035,100.000
PTV_68,77.542,100.000
PTV_68,78.049,100.000
PTV_68,78.555,100.000
PTV_68,79.062,100.000
PTV_68,79.569,100.000
PTV_68,80.076,100.000
PTV_68,80.583,100.000
PTV_68,81.089,100.000
PTV_68,81.596,100.000
PTV_68,82.103,100.000
PTV_68,82.610,100.000
PTV_68,83.117,100.000
PTV_68,83.623,100.000
PTV_68,84.130,100.000
PTV_68,84.637,100.000
PTV_68,85.144,100.000
PTV_68,85.651,90.000
PTV_68,86.158,90.000
PTV_68,86.664,90.000
PTV_68,87.171,90.000
PTV_68,87.678,90.000
PTV_68,88.185,90.000
PTV_68,88.692,90.000
PTV_68,89.198,90.000
PTV_68,89.705,90.000
PTV_68,90.212,90.000
PTV_68,90.719,90.000
PTV_68,91.226,80.000
PTV_68,91.732,80.000
PTV_68,92.239,80.000
PTV_68,92.746,80.000
PTV_68,93.253,80.000
PTV_68,93.760,80.000
PTV_68,94.266,80.000
PTV_68,94.773,80.000
PTV_68,95.280,80.000
PTV_68,95.787,70.000
PTV_68,96.294,40.000
PTV_68,96.801,30.000
PTV_68,97.307,30.000
PTV_68,97.814,30.000
PTV_68,98.321,30.000
PTV_68,98.828,20.000
