eval,angles_deg,objective,cached
1,"0;1;2;3",644373.510109,false
2,"350;1;2;3",235699.594691,false
3,"340;1;2;3",133888.248576,false
4,"330;1;2;3",112788.976591,false
5,"320;1;2;3",112232.907241,false
6,"310;1;2;3",116514.314987,false
7,"330;1;2;3",112788.976591,true
8,"320;351;2;3",106714.468782,false
9,"310;351;2;3",105765.913310,false
10,"300;351;2;3",107124.340668,false
11,"320;351;2;3",106714.468782,true
12,"310;341;2;3",103852.752482,false
13,"300;341;2;3",104855.098252,false
14,"320;341;2;3",106148.075916,false
15,"310;331;2;3",103957.411356,false
16,"310;351;2;3",105765.913310,true
17,"310;341;352;3",102741.693306,false
18,"300;341;352;3",103928.656292,false
19,"320;341;352;3",104759.852873,false
20,"310;331;352;3",102379.196922,false
21,"300;331;352;3",103267.335738,false
22,"320;331;352;3",104336.092719,false
23,"310;321;352;3",101969.163111,false
24,"3;88;310;321",99624.346127,false
25,"353;88;310;321",99921.829964,false
26,"13;88;310;321",101320.248290,false
27,"3;78;310;321",99229.517186,false
28,"353;78;310;321",98727.061710,false
29,"343;78;310;321",100167.464023,false
30,"3;78;310;321",99229.517186,true
31,"353;68;310;321",100123.922295,false
32,"353;88;310;321",99921.829964,true
33,"353;78;300;321",99485.049562,false
34,"353;78;320;321",101889.155078,false
35,"353;78;310;311",100503.712911,false
36,"353;78;310;331",98609.591322,false
37,"343;78;310;331",99345.774751,false
38,"3;78;310;331",98086.592825,false
39,"353;78;310;331",98609.591322,true
40,"13;78;310;331",98955.811955,false
41,"3;68;310;331",100370.947888,false
42,"3;88;310;331",99382.808783,false
43,"3;78;300;331",98963.005786,false
44,"3;78;320;331",100077.636317,false
45,"3;78;310;321",99229.517186,true
46,"3;78;310;341",99146.760338,false
47,"353;78;310;331",98609.591322,true
48,"13;78;310;331",98955.811955,true
49,"3;68;310;331",100370.947888,true
50,"3;88;310;331",99382.808783,true
51,"3;78;300;331",98963.005786,true
52,"3;78;320;331",100077.636317,true
53,"3;78;310;321",99229.517186,true
54,"3;78;310;341",99146.760338,true
55,"353;78;310;331",98609.591322,true
56,"13;78;310;331",98955.811955,true
57,"3;68;310;331",100370.947888,true
58,"3;88;310;331",99382.808783,true
59,"3;78;300;331",98963.005786,true
60,"3;78;320;331",100077.636317,true
61,"3;78;310;321",99229.517186,true
62,"3;78;310;341",99146.760338,true
63,"353;78;310;331",98609.591322,true
64,"13;78;310;331",98955.811955,true
65,"3;68;310;331",100370.947888,true
66,"3;88;310;331",99382.808783,true
67,"3;78;300;331",98963.005786,true
68,"3;78;320;331",100077.636317,true
69,"3;78;310;321",99229.517186,true
70,"3;78;310;341",99146.760338,true
71,"353;78;310;331",98609.591322,true
72,"13;78;310;331",98955.811955,true
73,"3;68;310;331",100370.947888,true
74,"3;88;310;331",99382.808783,true
75,"3;78;300;331",98963.005786,true
76,"3;78;320;331",100077.636317,true
77,"3;78;310;321",99229.517186,true
78,"3;78;310;341",99146.760338,true
79,"353;78;310;331",98609.591322,true
80,"13;78;310;331",98955.811955,true
81,"3;68;310;331",100370.947888,true
82,"3;88;310;331",99382.808783,true
83,"3;78;300;331",98963.005786,true
84,"3;78;320;331",100077.636317,true
85,"3;78;310;321",99229.517186,true
86,"3;78;310;341",99146.760338,true
87,"78;260;310;331",99190.613796,false
88,"68;260;310;331",100872.892469,false
89,"88;260;310;331",100754.837938,false
90,"78;250;310;331",99415.522540,false
91,"78;270;310;331",95514.816159,false
92,"68;270;310;331",96674.881264,false
93,"88;270;310;331",98770.414379,false
94,"78;260;310;331",99190.613796,true
95,"78;280;310;331",96540.197724,false
96,"78;270;300;331",96926.982212,false
97,"78;270;320;331",97139.334604,false
98,"78;270;310;321",96540.456401,false
99,"78;270;310;341",96197.844719,false
100,"68;270;310;331",96674.881264,true
101,"88;270;310;331",98770.414379,true
102,"78;260;310;331",99190.613796,true
103,"78;280;310;331",96540.197724,true
104,"78;270;300;331",96926.982212,true
105,"78;270;320;331",97139.334604,true
106,"78;270;310;321",96540.456401,true
107,"78;270;310;341",96197.844719,true
