improvement,eval,angles_deg,objective
0,1,0;1;2;3,644373.510109
1,2,350;1;2;3,235699.594691
2,3,340;1;2;3,133888.248576
3,4,330;1;2;3,112788.976591
4,5,320;1;2;3,112232.907241
5,8,320;351;2;3,106714.468782
6,9,310;351;2;3,105765.913310
7,12,310;341;2;3,103852.752482
8,17,310;341;352;3,102741.693306
9,20,310;331;352;3,102379.196922
10,23,310;321;352;3,101969.163111
11,24,3;88;310;321,99624.346127
12,27,3;78;310;321,99229.517186
13,28,353;78;310;321,98727.061710
14,36,353;78;310;331,98609.591322
15,38,3;78;310;331,98086.592825
16,91,78;270;310;331,95514.816159
17,315,58;270;311;327,95433.003116
18,322,58;270;311;317,95384.301908
19,355,58;270;317;330,94908.604390
20,503,58;181;270;317,94387.201384
21,506,58;171;270;317,93633.952732
22,588,58;141;270;290,92461.384159
23,595,58;141;270;280,91423.471209
